المنتج,سعر المنتج,صورة المنتج,رابط المنتج,المنافس,__المنافس__,__صف_الملف__,__سبب_التلف__
عينة زيرجوف جوين ذا كلوب دون او دو برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/c0485f05-111d-4070-aa2f-ac5d55badc2c-500x500-Y1PytYAghU6NTXisuDpFM0QYFIWWL77NuDgcCexx.jpg",https://mahally.com/products/1313514692/820486764/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=482&index=products_v2_store_view,م فنيلا,م فنيلا.csv,503,عينة_أو_مرفوض
عينة كارتير لابانتير بارفيوم 10مل,89.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/499d34c6-e721-49e8-9f48-b636f686c54e-500x500-X8i738ujqBmNiH2acsx4H83m8nbndUWIGLal07Ph.jpg",https://mahally.com/products/1313514692/249645796/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=483&index=products_v2_store_view,م فنيلا,م فنيلا.csv,504,عينة_أو_مرفوض
عينة اف سان لوران لو فيستيير ديس بارفيومز بيبي كات او دو برفيوم 2مل,19.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/dd292924-d145-4ca0-b85e-45526c979844-500x500-C5x4m60zX2BNqV30m4ALd2IrPSVvXnjFLMyIeCFw.jpg",https://mahally.com/products/1313514692/1983170961/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=485&index=products_v2_store_view,م فنيلا,م فنيلا.csv,506,عينة_أو_مرفوض
عينة ديور هوم او دو تواليت 1مل,8.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/Q3iPfZxVZGQZVPo1XdQqItxn81nM8Gid3UFnxfar.png",https://mahally.com/products/1313514692/979968855/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=492&index=products_v2_store_view,م فنيلا,م فنيلا.csv,513,عينة_أو_مرفوض
عينة هيرمس توتي تويلي دي هيرمس او دو بارفيوم 2مل,7.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/f8957d6d-a181-4c3d-a154-087bfbfe44f2-500x500-pvkzMxxNNZ1lXQvg6XCJ04Yfu0AJeHpQFbYBLIyR.jpg",https://mahally.com/products/1313514692/1507514963/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=493&index=products_v2_store_view,م فنيلا,م فنيلا.csv,514,عينة_أو_مرفوض
عينة زيرجوف كيمي اكوا ريجيا برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/83dae934-c796-4bf9-b091-3c514f135526-500x500-yL5OucLnGEnFYNmRHSuam3ZdEVyJP69BHgWBmsB7.jpg",https://mahally.com/products/1313514692/1690671459/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=498&index=products_v2_store_view,م فنيلا,م فنيلا.csv,519,عينة_أو_مرفوض
عينة ميمو باريس انفرنيس او دو برفيوم 1.5مل,29.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/af55a478-3927-44de-bbf3-2b9795a0f72c-500x500-WVT7Aad6NRirAGyJo98DWPcSw07b0dXu3htoc1O3.jpg",https://mahally.com/products/1313514692/924116852/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=509&index=products_v2_store_view,م فنيلا,م فنيلا.csv,530,عينة_أو_مرفوض
عينة زيرجوف جولدن موكا برفيوم 2مل,49.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/fb0231d6-6202-4dc0-9d47-1cdf40785bff-500x500-JI2NOttZL1uzEvMwDntveEw0mgkBUNv4QxkJ5JcL.jpg",https://mahally.com/products/1313514692/1552076295/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=538&index=products_v2_store_view,م فنيلا,م فنيلا.csv,559,عينة_أو_مرفوض
عينة زيرجوف ديكاس او دو برفيوم 2مل,36.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/4833b984-4800-4be1-95cc-b19785688d72-500x500-QaxEfopGVm4owMD8JJYP69ZQLL7jfMH3A3kMPNV3.jpg",https://mahally.com/products/1313514692/491772485/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=555&index=products_v2_store_view,م فنيلا,م فنيلا.csv,576,عينة_أو_مرفوض
عينة باكو رابان مليون جولد او دو برفيوم انتنس 1.5مل,7.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/9e4d55e3-8362-4dbe-90a4-067588b618a0-500x500-zc1nFRbbCozTQTpEsy70tiaOJT8DvPG0DneDbxeB.jpg",https://mahally.com/products/1313514692/2002776494/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=556&index=products_v2_store_view,م فنيلا,م فنيلا.csv,577,عينة_أو_مرفوض
